,,"This is the list of HEVC Standard Essential Patents included in the HEVC Advance Patent Portfolio License as of January 2022. The evaluation of patents by the independent Patent Evaluator is ongoing, and this list will be updated as new patents are determined to be HEVC Standard Essential Patents. This list identifies the number of claims of each patent evaluated to be an HEVC Standard Essential Patent. Each listed patent may include additional essential claims that have not yet been evaluated. The sections of the HEVC/H.265 standard are identified by way of example only. Other sections of the standard may also be relevant to each corresponding patent.",,,,,,,
Count (Claims),Count (Patents),Profile,Country,Patent Number,Claim Number,Category,Licensor,Est. Exp. Date,"Representative HEVC/H.265 Sections (Version 2, unless otherwise specified)"
1896,1556,Main/Main10,CH,CH-EP2768144,1,Encoder,GEVC,20320112,"7.3.8.11, 7.4.9.11, 7.4.3.2.1, 9.3, 9.3.3.10, 9.3.4.2.5"
1897,1556,Main/Main10,CH,CH-EP2768144,6,Decoder,GEVC,20320112,"7.3.8.11, 7.4.9.11, 7.4.3.2.1, 9.3, 9.3.3.10, 9.3.4.2.5"
1898,1557,Main/Main10,CH,CH-EP2768145,1,Encoder,GEVC,20320112,"7.3.8.11, 7.4.9.11, 7.4.3.2.1, 9.3, 9.3.3.10, 9.3.4.2.5"
1899,1557,Main/Main10,CH,CH-EP2768145,2,Decoder,GEVC,20320112,"7.3.8.11, 7.4.9.11, 7.4.3.2.1, 9.3, 9.3.3.10, 9.3.4.2.5"
1900,1558,Main/Main10,CH,CH-EP2770736,11,Encoder,Toshiba,20311017,"7.2, 7.3.2.3.1, 7.3.6.1, 7.3.6.3, 7.4.3.3.1, 7.4.7.3, 8.1.1, 8.5.3.3.1, 8.5.3.3.3.1, 8.5.3.3.4.3"
1901,1558,Main/Main10,CH,CH-EP2770736,12,Decoder,Toshiba,20311017,"7.2, 7.3.2.3.1, 7.3.6.1, 7.3.6.3, 7.4.3.3.1, 7.4.7.3, 8.1.1, 8.5.3.3.1, 8.5.3.3.3.1, 8.5.3.3.4.3"
1902,1559,Main/Main10,CH,CH-EP2773109,1,Decoder,Samsung,20321031,"7.2, 7.3.8.10, 7.3.8.11, 7.4.9.10, 7.4.9.11, 9.3, 9.3.1, 9.3.4, 9.3.4.1, 9.3.4.2, 9.3.4.2.1, 9.3.4.2.6, 9.3.4.2.7, Table 9-43"
1903,1560,Main/Main10,CH,CH-EP2775711,1,Decoder,LGE,20321105,"6.3.1, 6.3.3, 8.1.1, 8.7.1, 8.7.2.1, 8.7.2.2, 8.7.2.3, 8.7.2.4, 8.7.2.5.1, 8.7.2.5.2"
1904,1560,Main/Main10,CH,CH-EP2775711,11,Encoder,LGE,20321105,"6.3.1, 6.3.3, 8.1.1, 8.7.1, 8.7.2.1, 8.7.2.2, 8.7.2.3, 8.7.2.4, 8.7.2.5.1, 8.7.2.5.2"
1905,1560,Main/Main10,CH,CH-EP2775711,13,Bitstream,LGE,20321105,"6.3.1, 6.3.3, 8.1.1, 8.7.1, 8.7.2.1, 8.7.2.2, 8.7.2.3, 8.7.2.4, 8.7.2.5.1, 8.7.2.5.2"
1906,1561,Main/Main10,CH,CH-EP2777264,2,Decoder,Canon,20321023,"0.7, 5.10, 6.5.3, 7.3.1.1, 7.3.2.2.1, 7.3.4, 7.3.8.11, 7.4.2.2, 7.4.3.2.1, 7.4.5, 7.4.9.11, 8.1.1, 8.6.3"
1907,1562,Main/Main10,CH,CH-EP2777269,3,Decoder,DIAB,20321106,"7.3.8.11, 7.4.9.10, 7.4.9.11"
1908,1563,Main/Main10,CH,CH-EP2777270,3,Decoder,DIAB,20321106,"7.3.8.11, 7.4.9.10, 7.4.9.11"
1909,1564,Main/Main10,CH,CH-EP2777275,12,Decoder,Canon,20321105,"3.13, 3.34, 3.35, 3.43, 3.46, 3.127, 3.149, 3.150, 3.151, 3.177, 6.3.1, 6.5.1, 7.4.7.1, 8.5.1, 8.6.1, 9.3, 9.3.1, 9.3.2, 9.3.2.1, 9.3.2.2, 9.3.2.4, 9.3.2.5, 9.3.4.3.2.1, 9.3.4.3.2.2, Figs. 9-2, 9-4"
1910,1565,Main/Main10,CH,CH-EP2777281,1,Decoder,Huawei,20321107,"7.2, 7.3.8.5, 7.4.9.5, 8.1.1, 8.4.2, 9.3.4.2.1, 9.3.4.3.1"
1911,1566,Main/Main10,CH,CH-EP2779642,1,Encoder,Huawei,20321102,"0.7, 3, 6.2, 6.3.2, 7.1, 7.3.8.6, 7.4.3.3.1, 7.4.9.5, 7.4.9.6, 8.5.2, 8.5.3.1, 8.5.3.2, 8.5.3.2.1, 8.5.3.2.2, 8.5.3.2.3, 8.5.3.2.4, 8.5.3.2.7, 8.5.3.2.8"
1912,1566,Main/Main10,CH,CH-EP2779642,6,Decoder,Huawei,20321102,"0.7, 3, 6.2, 6.3.2, 7.1, 7.3.8.6, 7.4.3.3.1, 7.4.9.5, 7.4.9.6, 8.5.2, 8.5.3.1, 8.5.3.2, 8.5.3.2.1, 8.5.3.2.2, 8.5.3.2.3, 8.5.3.2.4, 8.5.3.2.7, 8.5.3.2.8"
1913,1567,Main/Main10,CH,CH-EP2782342,1,Decoder,Huawei,20311108,"6.4.1, 8.4.2"
1914,1567,Main/Main10,CH,CH-EP2782342,8,Encoder,Huawei,20311108,"6.4.1, 8.4.2"
1915,1568,Main/Main10,CH,CH-EP2793467,1,Encoder,JVCKENWOOD,20321213,"6.3.2, 6.3.3, 6.4.1, 7.3.2.2.1, 7.3.8.10, 7.4.3.2.1, 7.4.9.10, 8.1.1, 8.6.1"
1916,1568,Main/Main10,CH,CH-EP2793467,4,Decoder,JVCKENWOOD,20321213,"3.12, 3.32, 3.33, 3.34, 3.96, 6.3, 6.3.2, 6.3.3, 7.3.8.1, 7.3.8.10, 7.4.3.2, 7.4.3.2.1, 7.4.3.3, 7.4.3.3.1, 7.4.7, 7.4.7.1, 7.4.9.10, 8.6.1"
1917,1569,Main/Main10,CH,CH-EP2802146,1,Decoder,JVCKENWOOD,20321214,"3.12, 3.32, 3.33, 3.34, 3.96, 6.3.2, 6.3.3, 7.3.8.1, 7.3.8.10, 7.4.3.2.1, 7.4.3.3.1, 7.4.7.1, 7.4.9.10, 8.6.1"
1918,1570,Main/Main10,CH,CH-EP2804325,2,Decoder,Panasonic,20220813,"3, 6.3.1, 7.2, 7.3.2.9, 7.3.6, 7.3.7, 7.3.8, 7.4.3.9, 9.2.1"
1919,1571,Main/Main10,CH,CH-EP2804383,1,Decoder,Samsung,20300813,"3.34, 3.41, 3.70, 6.2, 6.3, 6.3.1, 6.3.2, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.4.3.2.1, 7.4.9.2, 7.4.9.4, 7.4.9.5, 7.4.9.10, Table 7-10"
1920,1572,Main/Main10,CH,CH-EP2805485,1,Decoder,Canon,20330118,"3.13, 3.33, 3.34, 3.35, 3.36, 3.43, 3.46, 3.108, 3.110, 3.149, 3.150, 3.151, 6.3.1, 6.4.2, 7.3.8.4, 7.3.8.5, 7.4.9.4, 7.4.9.5, 8.4, 8.4.2, 8.4.4.1, 8.4.4.2.1, Tables 7-10, 9-43, 9-48"
1921,1573,Main/Main10,CH,CH-EP2805507,1,Decoder,Canon,20330118,"3.13, 3.34, 3.46, 3.140, 3.180, 3.183, 3.184, 6.3.2, 7.3.8.10, 7.3.8.11, 7.4.3.2.1, 7.4.9.10, 7.4.9.11, 8.4.4.1"
1922,1574,Main/Main10,CH,CH-EP2806637,1,Decoder,ETRI,20330118,"8.5.3.1, 8.5.3.2.1, 8.5.3.2.6, 8.5.3.2.7, 8.5.3.2.8, 8.5.3.2.9, F.8.3.1"
1923,1574,Main/Main10,CH,CH-EP2806637,4,Encoder,ETRI,20330118,"8.5.3.1, 8.5.3.2.1, 8.5.3.2.6, 8.5.3.2.7, 8.5.3.2.8, 8.5.3.2.9, F.8.3.1"
1924,1575,Main/Main10,CH,CH-EP2806642,1,Decoder,DLLC,20330117,"6.4.1, 7.3.8.5, 7.4.9.5, 8.1.1, 8.4.2, 8.4.3, 9.3.3.1, 9.3.3.5"
1925,1576,Main/Main10,CH,CH-EP2811745,1,Decoder,Samsung,20330130,"3.12, 3.25, 3.44, 7.2, 7.3.6, 7.3.6.1, 7.3.8.10, 7.4.3.3, 7.4.3.3.1, 7.4.7, 7.4.7.1, 7.4.9.10, 8.6, 8.6.1, 9.3, 9.3.1, 9.3.2, 9.3.2.1, 9.3.2.2, 9.3.2.4, Figs. 9-2, 9-3"
1926,1577,Main/Main10,CH,CH-EP2824927,1,Decoder,IP Bridge,20230722,"6.3.1, 6.3.2, 7.3.6.1, 7.3.6.2, 7.3.6.3, 7.3.8.11, 7.4.7.1, 7.4.7.2, 7.4.7.3, 8.1.1, 8.3.4, 8.5.1, 8.5.3.2.1, 8.5.3.3.1, 8.5.3.3.2, 8.5.3.3.4.3, 8.6.7, A.4.1"
1927,1578,Main/Main10,CH,CH-EP2824928,1,Decoder,IP Bridge,20230722,"7.3.6.3, 7.3.8.11, 7.4.7.1, 7.4.7.2, 7.4.7.3, 8.1.1, 8.3.4, 8.5.1, 8.5.2, 8.5.3.1, 8.5.3.2.1, 8.5.3.3.1, 8.5.3.3.2, 8.5.3.3.3.1, 8.5.3.3.4.3, 8.5.4.1, 8.5.4.2, 8.6.2, 8.6.3, 8.6.7, A.4.1"
1928,1579,Main/Main10,CH,CH-EP2830313,1,Decoder,Samsung,20330416,"7.3.2.2.1, 7.3.6.1, 7.3.7, 7.4.3.2.1, 7.4.8, 8.1.1, 8.3.2"
1929,1580,Main/Main10,CH,CH-EP2833632,1,Decoder,JVCKENWOOD,20200331,"3.13, 3.43, 3.46, 3.107, 3.109, 3.140, 6.3.2, 7.3.8.11, 7.4.9.11, 8.5.1, 8.6.7, 9.3.4, 9.3.4.1, 9.3.4.2, 9.3.4.2.1, 9.3.4.2.5, Tables 9-4, 9-29, 9-48"
1930,1581,Main/Main10,CH,CH-EP2838260,1,Decoder,JVCKENWOOD,20330412,"3.12, 3.41, 3.44, 3.101, 3.103, 3.129, 6.3.2, 7.3.8.11, 7.4.9.11, 8.5.1, 8.6.7, 9.3.4, 9.3.4.1, 9.3.4.2, 9.3.4.2.1, 9.3.4.2.5, Tables 9-4, 9-29, 9-43"
1931,1582,Main/Main10,CH,CH-EP2838261,1,Decoder,JVCKENWOOD,20330412,"3.13, 3.43, 3.46, 3.107, 3.109, 3.140, 6.3.2, 7.3.8.11, 7.4.9.11, 8.5.1, 8.6.7, 9.3.4, 9.3.4.1, 9.3.4.2, 9.3.4.2.1, 9.3.4.2.5, Tables 9‐4, 9‐29, 9‐48"
1932,1583,Main/Main10,CH,CH-EP2838267,1,Decoder,Samsung,20301022,"3.12, 3.30, 3.32, 3.33, 3.35, 3.44, 3.96, 3.97, 3.112, 3.131, 3.167, 6.3.2, 7.3.2.2.1, 7.3.2.3.1, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.4.3.2.1, 7.4.3.3.1, 7.4.9.4, 7.4.9.5, 7.4.9.10, 8.6, 8.6.1, 8.6.2, 8.6.3"
1933,1584,Main/Main10,CH,CH-EP2838270,1,Decoder,Samsung,20320627,"3.44, 7.3.8.5, 7.4.9.5, 8.4, 8.4.1, 8.4.2, 8.4.4.1, 8.4.4.2.1, 8.4.4.2.4, Fig. 8-1, Table 8-1"
1934,1585,Main/Main10,CH,CH-EP2840788,1,Decoder,ETRI,20330416,"7.3.1.1, 7.3.1.2, 7.3.2, 7.3.6.1, 7.4.2.2, 7.4.7.1, 7.4.8, 8.1.1, 8.1.3, 8.2, 8.3.2, 9.1"
1935,1586,Main/Main10,CH,CH-EP2840789,1,Decoder,Samsung,20330415,"3.7, 3.8, 3.9, 3.10, 7.3.8.11, 7.4.9.11, 9.3, 9.3.1, 9.3.3.2, 9.3.3.3, 9.3.3.4, 9.3.3.10, Table 9-39"
1936,1587,Main/Main10,CH,CH-EP2840791,1,Decoder,ETRI,20330416,"6.5.3, 7.3.4, 7.4.3.2.1, 7.4.5, 8.1.1"
1937,1588,Main/Main10,CH,CH-EP2842318,1,Decoder,GEVC,20330415,"6.3.1, 6.3.3, 7.3.2.3.1, 7.3.6.1, 7.4.3.3.1, 7.4.7.1, 9.3, 9.3.1, 9.3.2, 9.3.2.1, 9.3.2.2, 9.3.2.3, 9.3.2.4"
1938,1588,Main/Main10,CH,CH-EP2842318,11,Encoder,GEVC,20330415,"6.3.1, 6.3.3, 7.3.2.3.1, 7.3.6.1, 7.4.3.3.1, 7.4.7.1, 9.3, 9.3.1, 9.3.2, 9.3.2.1, 9.3.2.2, 9.3.2.3, 9.3.2.4"
1939,1588,Main/Main10,CH,CH-EP2842318,17,Bitstream,GEVC,20330415,"6.3.1, 6.3.3, 7.3.2.3.1, 7.3.6.1, 7.4.3.3.1, 7.4.7.1, 9.3, 9.3.1, 9.3.2, 9.3.2.1, 9.3.2.2, 9.3.2.3, 9.3.2.4"
1940,1589,Main/Main10,CH,CH-EP2854398,1,Decoder,Samsung,20330611,"6.3.1, 7.1, 7.2, 7.3.6.1, 7.3.8.2, 7.3.8.3, 7.4.3.2.1, 7.4.7.1, 7.4.9.3, 8.1.1, 8.7.1, 8.7.3.1, 8.7.3.2, 9.3.1, 9.3.2.1, 9.3.2.2, 9.3.4.1, 9.3.4.2.1"
1941,1590,Main/Main10,CH,CH-EP2858366,1,Decoder,Samsung,20310707,"7.3.8.5, 7.3.8.6, 7.4.9.5, 7.4.9.6, 8.5.3.2.2, Fig. 8-3, Table 7-10"
1942,1591,Main/Main10,CH,CH-EP2860980,1,Decoder,Samsung,20310930,"3.35, 3.44, 3.64, 3.83, 3.104, 8.5.3.3.3, 8.5.3.3.3.1, 8.5.3.3.3.2, 8.5.3.3.3.3, Figs. 8-4, 8-5, Tables 8-8, 8-9"
1943,1592,Main/Main10,CH,CH-EP2863639,1,Decoder,Samsung,20300813,"3.34, 3.70, 6.2, 6.3, 6.3.1, 6.3.2, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.4.3.2.1, 7.4.9.2, 7.4.9.4, 7.4.9.10, 8.5.2"
1944,1593,Main/Main10,CH,CH-EP2866442,1,Decoder,Samsung,20300813,"6.3, 6.3.2, 7.1, 7.3.2.2.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.6, 7.3.8.8, 7.3.8.10, 7.3.8.11, 7.4.3.2.1, 7.4.9.4, 7.4.9.5, 7.4.9.8, 7.4.9.10, 7.4.9.11, 8.1.1, 8.5.2, 8.5.3.1, 8.6.3, 8.6.4.1, 8.6.4.2, 8.6.7"
1945,1594,Main/Main10,CH,CH-EP2869563,1,Decoder,Samsung,20330702,"7.3.8, 7.3.8.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.4.9.8, 9, 9.1, 9.3, 9.3.1, 9.3.2, 9.3.2.2, 9.3.4.2.1, Table 9-43"
1946,1595,Main/Main10,CH,CH-EP2869574,15,Encoder,Toshiba,20320627,"7.2, 7.3.2.3.1, 7.3.6.1, 7.3.6.3, 7.4.3.3.1, 7.4.7.3, 8.1.1, 8.5.3.3.1, 8.5.3.3.3.1, 8.5.3.3.4.3"
1947,1595,Main/Main10,CH,CH-EP2869574,16,Decoder,Toshiba,20320627,"7.2, 7.3.2.3.1, 7.3.6.1, 7.3.6.3, 7.4.3.3.1, 7.4.7.3, 8.1.1, 8.5.3.3.1, 8.5.3.3.3.1, 8.5.3.3.4.3"
1948,1596,Main/Main10,CH,CH-EP2882188,1,Decoder,Samsung,20300813,"3.61, 6.3.1, 6.3.2, 7.3.2.2, 7.3.8.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.4.3.2, 7.4.9.2, 7.4.9.4, 7.4.9.5, 8.4, 8.4.2, 8.5.3, Table 7-10"
1949,1597,Main/Main10,CH,CH-EP2882190,1,Decoder,HFI,20320420,"6.3.1, 6.3.2, 7.2, 7.3.8.2, 7.3.8.3, 7.4.7.1, 7.4.9.2, 7.4.9.3, 8.4.1, 8.5.1, 8.7, 8.7.1, 8.7.3"
1950,1597,Main/Main10,CH,CH-EP2882190,5,Encoder,HFI,20320420,"6.3.1, 6.3.2, 7.2, 7.3.8.2, 7.3.8.3, 7.4.7.1, 7.4.9.2, 7.4.9.3, 8.4.1, 8.5.1, 8.7, 8.7.1, 8.7.3"
1951,1598,Main/Main10,CH,CH-EP2884749,1,Decoder,Samsung,20320627,"3.44, 7.3.8.10, 7.3.8.11, 7.4.9.11, 9.3, 9.3.1, 9.3.2.2, 9.3.3, 9.3.3.1, 9.3.3.2, 9.3.3.5, 9.3.4, 9.3.4.1, 9.3.4.2, 9.3.4.2.1, 9.3.4.2.3, 9.3.4.3, 9.3.4.3.1, 9.3.4.3.4, Figs. 9-5, 9-8, Tables 9-4, 9-26, 9-27, 9-38, 9-43"
1952,1599,Main/Main10,CH,CH-EP2887670,1,Decoder,Samsung,20320627,"3.41, 3.44, 7.3.8.5, 7.4.9.5, 8.4, 8.4.1, 8.4.2, 8.4.4.1, 8.4.4.2.1, 8.4.4.2.4, 8.4.4.2.5, Fig. 8-1, Table 8-1"
1953,1600,Main/Main10,CH,CH-EP2890123,1,Decoder,Samsung,20300813,"3.12, 3.25, 3.30, 3.32, 3.33, 3.35, 3.44, 3.96, 3.97, 6.3.2, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.3.8.10, 7.3.8.11, 7.4.3.2, 7.4.3.2.1, 7.4.9.4, 7.4.9.5, 7.4.9.8, 8.4.1, 8.4.4.2.1, 8.5.2, 8.6.3, 8.6.4, 8.6.4.1, 8.6.7, 9.3, 9.3.1, Table 7-10"
1954,1601,Main/Main10,CH,CH-EP2897364,1,Decoder,Samsung,20301022,"3.12, 3.30, 3.32, 3.33, 3.35, 3.44, 3.96, 3.97, 3.112, 3.131, 3.167, 6.3.2, 7.3.2.2.1, 7.3.2.3.1, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.4.3.2.1, 7.4.3.3.1, 7.4.9.4, 7.4.9.5, 7.4.9.10, 8.6, 8.6.1, 8.6.2, 8.6.3"
1955,1602,Main/Main10,CH,CH-EP2897365,1,Decoder,Samsung,20310707,"7.3.8.5, 7.3.8.6, 7.4.9.5, 7.4.9.6, 8.5.3.2.2, Fig. 8-3, Table 7-10"
1956,1603,Main/Main10,CH,CH-EP2899978,1,Decoder,Samsung,20301208,"1, 3, 4, 6.2, 7.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.4.1, 7.4.9.2, 7.4.9.4, 7.4.9.5, 7.4.9.8, 8.1.1, 8.5.1, 8.5.2, 8.5.3.1, 8.6.2"
1957,1604,Main/Main10,CH,CH-EP2899979,1,Decoder,Samsung,20301028,"7.3.8.4, 7.4.9.4, 8.1"
1958,1605,Main/Main10,CH,CH-EP2899980,1,Decoder,Samsung,20301028,"6.3.2, 7.1, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.3.8.10, 7.3.8.11, 7.4.3.2.1, 7.4.9.4, 7.4.9.5, 7.4.9.8, 7.4.9.10, 7.4.9.11, 8.4.1, 8.5.2"
1959,1606,Main/Main10,CH,CH-EP2899981,1,Decoder,Samsung,20301028,"6.3.2, 7.1, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.3.8.10, 7.3.8.11, 7.4.3.2.1, 7.4.9.4, 7.4.9.5, 7.4.9.8, 7.4.9.10, 7.4.9.11, 8.4.1, 8.5.2"
1960,1607,Main/Main10,CH,CH-EP2899982,4,Decoder,Docomo,20330617,"3.40, 3.41, 3.44, 3.66, 6.3.1, 6.3.2, 7.3.8.5, 7.3.8.11, 7.4.9.5, 7.4.9.11, 8.4, 8.4.1, 8.4.2, 8.4.4.1, 8.4.4.2.1, 8.4.4.2.3, 8.4.4.2.6, 8.6.2, 8.6.7, C.3, C.3.1, Tables 7-10, 8-4, 8-5"
1961,1608,Main/Main10,CH,CH-EP2903273,1,Decoder,Samsung,20310405,"3.32, 3.34, 3.35, 3.41, 3.44, 3.104, 6.2, 6.3.1, 6.3.2, 7.2, 7.3.8.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.4.3.2.1, 7.4.9.2, 7.4.9.4, 7.4.9.5, 8.4.1, 8.4.2, 8.4.3, 8.4.4.1, 8.4.4.2.1, 8.4.4.2.6, Figs. 8-1, 8-2, Tables 6-1, 7-10, 8-1, 8-2, 8-3, 8-5"
1962,1609,Main/Main10,CH,CH-EP2903274,1,Decoder,Samsung,20310405,"3.32, 3.34, 3.35, 3.44, 3.104, 6.2, 6.3.1, 6.3.2, 7.2, 7.3.8.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.4.3.2.1, 7.4.9.2, 7.4.9.4, 7.4.9.5, 8.4.1, 8.4.2, 8.4.3, 8.4.4.1, 8.4.4.2.1, 8.4.4.2.6, Figs. 8-1, 8-2, Tables 6-1, 7-10, 8-1, 8-2, 8-3, 8-5"
1963,1610,Main/Main10,CH,CH-EP2903279,1,Decoder,Samsung,20301028,"3.168, 6.3.1, 6.3.2, 7.3.8, 7.3.8.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.3.8.10, 7.3.8.11, 7.4.3.2, 7.4.3.2.1, 7.4.9.4, 7.4.9.5, 7.4.9.8, 7.4.9.11, 8.4, 8.4.1, 8.6.4, 8.6.4.1, Table 7-10"
1964,1611,Main/Main10,CH,CH-EP2905962,1,Decoder,Samsung,20310405,"3.32, 3.34, 3.35, 3.41, 3.44, 3.104, 6.2, 6.3.1, 6.3.2, 7.2, 7.3.8.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.4.3.2.1, 7.4.9.2, 7.4.9.4, 7.4.9.5, 8.4.1, 8.4.2, 8.4.3, 8.4.4.1, 8.4.4.2.1, 8.4.4.2.6, Figs. 8-1, 8-2, Tables 6-1, 7-10, 8-1, 8-2, 8-3, 8-5"
1965,1612,Main/Main10,CH,CH-EP2908525,1,Decoder,Samsung,20301208,"3.12, 3.30, 3.32, 3.33, 3.35, 3.64, 3.83, 3.96, 3.97, 6.3.2, 7.3.2.2.1, 7.3.8.4, 7.3.8.5, 7.4.3.2.1, 7.4.9.4, 7.4.9.5, 8.5.2, Table 7-10"
1966,1613,Main/Main10,CH,CH-EP2911398,1,Decoder,Samsung,20300723,"3.12, 3.25, 3.30, 3.32, 3.33, 3.35, 3.41, 3.44, 3.96, 3.97, 6.3.2, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.4.3.2, 7.4.3.2.1, 7.4.9.4, 7.4.9.5, 7.4.9.8, 8.6.3, 8.6.4, 8.6.4.1, 9, 9.1, Table 7-10"
1967,1614,Main/Main10,CH,CH-EP2911399,1,Decoder,Samsung,20300723,"3.12, 3.25, 3.30, 3.32, 3.33, 3.35, 3.41, 3.44, 3.96, 3.97, 6.3.2, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.4.3.2.1, 7.4.9.4, 7.4.9.5, 7.4.9.8, 8.6.3, 8.6.4, 8.6.4.1, 9.1, Table 7-10"
1968,1615,Main/Main10,CH,CH-EP2911400,1,Decoder,Samsung,20300723,"3.12, 3.25, 3.30, 3.32, 3.33, 3.35, 3.41, 3.44, 3.96, 3.97, 6.3.2, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.4.3.2.1, 7.4.9.4, 7.4.9.5, 7.4.9.8, 8.4.1, 8.6.3, 8.6.4, 8.6.4.1, Tables 7-10, 9-38"
1969,1616,Main/Main10,CH,CH-EP2911401,1,Decoder,Samsung,20300723,"6.3.2, 7.3.2.2.1, 7.3.8.4, 7.3.8.5, 7.3.8.6, 7.3.8.8, 7.4.3.2.1, 7.4.9.4, 7.4.9.5, 7.4.9.8, 8.1"
1970,1617,Main/Main10,CH,CH-EP2916549,1,Decoder,Docomo,20320622,"3.39, 3.40, 3.64, 3.83, 3.103, 3.123, 3.124, 7.3.2.2, 7.3.2.2.1, 7.4.3.2, 7.4.3.2.1, 8.5.3.3.3, 8.5.3.3.3.2, Fig. 8-4"
1971,1618,Main/Main10,CH,CH-EP2920971,1,Decoder,Google,20331021,"7.1, 7.3.6.1, 7.4.2.2, 7.4.7.1, 8.1.1, 8.3.2"
1972,1619,Main/Main10,CH,CH-EP2924995,1,Decoder,Samsung,20310707,"6.4.2, 7.3.8.5, 7.3.8.6, 7.4.9.5, 7.4.9.6, 8.1, 8.5.3.2.2, 8.5.3.2.3, 8.5.3.2.7, 8.5.3.3, 8.6.7"
1973,1620,Main/Main10,CH,CH-EP2924996,1,Decoder,Samsung,20310707,"7.3.8.5, 7.3.8.6, 7.4.9.5, 7.4.9.6, 8.5.3.2.2, 8.5.3.2.3, Fig. 8-3, Table 7-10"
1974,1621,Main/Main10,CH,CH-EP2928192,1,Decoder,Samsung,20300813,"6.3.2, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.4.3.2, 7.4.3.2.1, 7.4.9.4, 7.4.9.5, 7.4.9.8, 8.6.4.1, 8.6.4.2"
1975,1622,Main/Main10,CH,CH-EP2934008,10,Decoder,Docomo,20310714,"3.41, 3.44, 8.4.4.2, 8.4.4.2.1, 8.4.4.2.6, Fig. 8-2, Tables 8-5, 8-6"
1976,1623,Main/Main10,CH,CH-EP2934009,2,Decoder,Docomo,20310714,"3.41, 3.44, 8.4, 8.4.1, 8.4.2, 8.4.4, 8.4.4.1, 8.4.4.2, 8.4.4.2.1, 8.4.4.2.6, Fig. 8-1, Table 8-1"
1977,1624,Main/Main10,CH,CH-EP2938078,1,Decoder,Docomo,20320910,"3.11, 3.12, 3.30, 3.39, 3.40, 3.97, 3.99, 3.103, 3.105, 3.123, 3.127, 3.137, 7.3.7, 7.4.8, 8, 8.1, 8.1.1, 8.3, 8.3.2, 8.6.7, 8.7, 8.7.1"
1978,1625,Main/Main10,CH,CH-EP2938082,1,Decoder,Docomo,20311220,"3.44, 3.55, 3.83, 3.97, 3.101, 3.102, 3.103, 7.3.8.6, 7.4.9.6, 8.1, 8.1.1, 8.3, 8.3.1, 8.5.3.2.1, 8.5.3.2.6, 8.5.3.2.7, Fig. 8-3"
1979,1626,Main/Main10,CH,CH-EP2940996,1,Decoder,Samsung,20301022,"3.12, 6.3.2, 7.3.2.2, 7.3.2.2.1, 7.3.2.3, 7.3.2.3.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.3.8.10, 7.4.3.2, 7.4.3.2.1, 7.4.3.3, 7.4.3.3.1, 7.4.9.2, 7.4.9.4, 7.4.9.10, 8.4.4.1, 8.5.4.1, 8.6.1, 8.6.2"
1980,1627,Main/Main10,CH,CH-EP2940997,1,Decoder,Samsung,20301022,"3.32, 3.33, 3.35, 3.44, 3.96, 3.97, 3.112, 3.131, 3.167, 6.3.2, 7.3.2.2.1, 7.3.2.3.1, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.4.3.2.1, 7.4.3.3.1, 7.4.9.4, 7.4.9.5, 7.4.9.8, 7.4.9.10, 8.6, 8.6.1, 8.6.2, 8.6.3"
1981,1628,Main/Main10,CH,CH-EP2940999,1,Decoder,Samsung,20340106,"6.3.1, 7.3.2.3.1, 7.3.6.1, 7.3.8.1, 7.3.8.2, 7.3.8.4, 7.4.3.3.1, 7.4.7.1, 7.4.9.1, 7.4.9.4, 9.3.1, 9.3.2.1, 9.3.2.2, 9.3.4.1"
