,,"This is the list of HEVC Standard Essential Patents included in the HEVC Advance Patent Portfolio License as of January 2022. The evaluation of patents by the independent Patent Evaluator is ongoing, and this list will be updated as new patents are determined to be HEVC Standard Essential Patents. This list identifies the number of claims of each patent evaluated to be an HEVC Standard Essential Patent. Each listed patent may include additional essential claims that have not yet been evaluated. The sections of the HEVC/H.265 standard are identified by way of example only. Other sections of the standard may also be relevant to each corresponding patent.",,,,,,,
Count (Claims),Count (Patents),Profile,Country,Patent Number,Claim Number,Category,Licensor,Est. Exp. Date,"Representative HEVC/H.265 Sections (Version 2, unless otherwise specified)"
21,18,Main/Main10,AL,AL6290,1,Decoder,Samsung,20310707,"7.3.8.5, 7.3.8.6, 7.4.9.5, 7.4.9.6, 8.5.3.2.2, Fig. 8-3, Table 7-10"
22,19,Main/Main10,AL,AL6291,1,Decoder,Samsung,20301022,"3.12, 3.30, 3.32, 3.33, 3.35, 3.44, 3.96, 3.97, 3.112, 3.131, 3.167, 6.3.2, 7.3.2.2.1, 7.3.2.3.1, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.4.3.2.1, 7.4.3.3.1, 7.4.9.4, 7.4.9.5, 7.4.9.10, 8.6, 8.6.1, 8.6.2, 8.6.3"
23,20,Main/Main10,AL,AL6292,1,Decoder,Samsung,20301022,"3.32, 3.33, 3.35, 3.44, 3.96, 3.97, 3.112, 3.131, 3.167, 6.3.2, 7.3.2.2.1, 7.3.2.3.1, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.4.3.2.1, 7.4.3.3.1, 7.4.9.4, 7.4.9.5, 7.4.9.8, 7.4.9.10, 8.6, 8.6.1, 8.6.2, 8.6.3"
24,21,Main/Main10,AL,AL6313,1,Decoder,Samsung,20301022,"3.12, 3.30, 3.32, 3.33, 3.35, 3.44, 3.96, 3.97, 3.112, 3.131, 3.167, 6.3.2, 7.3.2.2.1, 7.3.2.3.1, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.4.3.2.1, 7.4.3.3.1, 7.4.9.4, 7.4.9.5, 7.4.9.10, 8.6, 8.6.1, 8.6.2, 8.6.3"
25,22,Main/Main10,AL,AL6332,1,Decoder,Samsung,20310707,"7.3.8.5, 7.3.8.6, 7.4.9.5, 7.4.9.6, 8.5.3.2.2, Fig. 8-3, Table 7-10"
26,23,Main/Main10,AL,AL6335,1,Decoder,Samsung,20310707,"7.3.8.5, 7.3.8.6, 7.4.9.5, 7.4.9.6, 8.5.3.2.2, Fig. 8-3, Table 7-10"
27,24,Main/Main10,AL,AL6346,,,Samsung,,See Note
28,25,Main/Main10,AL,AL6371,1,Decoder,Samsung,20301022,"3.12, 6.3.2, 7.3.2.2.1, 7.3.2.3.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.3.8.10, 7.4.3.2.1, 7.4.3.3.1, 7.4.9.2, 7.4.9.4, 7.4.9.10, 8.4.4, 8.4.4.1, 8.6, 8.6.1, 8.6.2"
29,26,Main/Main10,AL,AL6559,1,Decoder,Samsung,20301208,"3.12, 3.30, 3.32, 3.33, 3.35, 3.64, 3.83, 3.96, 3.97, 6.3.2, 7.3.2.2.1, 7.3.8.4, 7.3.8.5, 7.4.3.2.1, 7.4.9.4, 7.4.9.5, 8.5.2, Table 7-10"
30,27,Main/Main10,AL,AL6583,,,Samsung,,See Note
31,28,Main/Main10,AL,AL6638,1,Decoder,Samsung,20310930,"3.35, 3.41, 3.44, 3.64, 3.83, 3.104, 8.5.3.3.3, 8.5.3.3.3.1, 8.5.3.3.3.2, 8.5.3.3.3.3, Figs. 8-4, 8-5, Tables 8-8, 8-9"
32,29,Main/Main10,AL,AL6661,1,Decoder,Samsung,20310930,"3.35, 3.44, 3.64, 3.83, 3.104, 8.5.3.3.3, 8.5.3.3.3.1, 8.5.3.3.3.2, 8.5.3.3.3.3, Figs. 8-4, 8-5, Tables 8-8, 8-9"
33,30,Main/Main10,AL,AL6702,,,Samsung,,See Note
34,31,Main/Main10,AL,AL6706,,,Samsung,,See Note
35,32,Main/Main10,AL,AL6737,,,Samsung,,See Note
36,33,Main/Main10,AL,AL6740,,,Samsung,,See Note
37,34,Main/Main10,AL,AL6771,,,Samsung,,See Note
38,35,Main/Main10,AL,AL6781,1,Decoder,Samsung,20301022,"3.12, 6.3.2, 7.3.2.2, 7.3.2.2.1, 7.3.2.3, 7.3.2.3.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.3.8.10, 7.4.3.2, 7.4.3.2.1, 7.4.3.3, 7.4.3.3.1, 7.4.9.2, 7.4.9.4, 7.4.9.10, 8.4.4.1, 8.5.4.1, 8.6.1, 8.6.2"
39,36,Main/Main10,AL,AL6852,,,Samsung,,See Note
